model,mechanism,wire,doc,ceiling,n_scored,mean_triple_recall,min_triple_recall,mean_pair_recall,mean_polarity_ok_rate,mean_alias_surface_recall,mean_alias_false_positives
qwen2.5:7b,A0,native,aliases,2048,1,,,,,0.33,0.0
qwen2.5:7b,A0,native,negation,2048,1,0.0,0.0,0.33,,,
qwen2.5:7b,A0,native,short,2048,1,0.0,0.0,0.0,,,
qwen2.5:7b,A0,v1,aliases,2048,1,,,,,0.33,0.0
qwen2.5:7b,A0,v1,negation,2048,1,0.0,0.0,0.33,,,
qwen2.5:7b,A0,v1,short,2048,1,0.0,0.0,0.0,,,
qwen2.5:7b,A1,native,aliases,2048,1,,,,,0.33,0.0
qwen2.5:7b,A1,native,negation,2048,1,0.0,0.0,0.33,,,
qwen2.5:7b,A1,native,short,2048,1,0.0,0.0,0.0,,,
qwen2.5:7b,A1,v1,aliases,2048,1,,,,,0.33,0.0
qwen2.5:7b,A1,v1,negation,2048,1,0.0,0.0,0.33,,,
qwen2.5:7b,A1,v1,short,2048,1,0.0,0.0,0.0,,,
qwen2.5:7b,B,native,aliases,2048,1,,,,,0.33,0.0
qwen2.5:7b,B,native,negation,2048,1,0.0,0.0,0.33,,,
qwen2.5:7b,B,native,short,2048,1,0.0,0.0,0.0,,,
qwen2.5:7b,B,v1,aliases,2048,1,,,,,0.33,0.0
qwen2.5:7b,B,v1,negation,2048,1,0.0,0.0,0.33,,,
qwen2.5:7b,B,v1,short,2048,1,0.0,0.0,0.0,,,
qwen2.5:7b,C,native,aliases,2048,1,,,,,0.0,0.0
qwen2.5:7b,C,native,negation,2048,1,0.0,0.0,0.33,,,
qwen2.5:7b,C,native,short,2048,1,0.0,0.0,0.0,,,
qwen2.5:7b,C,v1,aliases,2048,1,,,,,0.0,0.0
qwen2.5:7b,C,v1,negation,2048,1,0.0,0.0,0.33,,,
qwen2.5:7b,C,v1,short,2048,1,0.0,0.0,0.0,,,
taguru-extract-12b,A0,native,aliases,2048,3,,,,,0.33,0.0
taguru-extract-12b,A0,native,long_dense,2048,2,0.15,0.1515,0.3,1.0,,
taguru-extract-12b,A0,native,long_dense,unbounded,2,0.15,0.1515,0.3,1.0,,
taguru-extract-12b,A0,native,long_dense#p0,2048,3,0.0,0.0,0.43,,,
taguru-extract-12b,A0,native,long_dense#p1,2048,3,0.12,0.125,0.38,1.0,,
taguru-extract-12b,A0,native,long_dense#p2,2048,3,0.0,0.0,0.75,,,
taguru-extract-12b,A0,native,long_dense#p3,2048,3,0.0,0.0,0.8,,,
taguru-extract-12b,A0,native,long_dense#p4,2048,3,0.0,0.0,0.6,,,
taguru-extract-12b,A0,native,negation,2048,3,0.0,0.0,0.56,,,
taguru-extract-12b,A0,native,output_limit,512-esc,3,0.03,0.0192,0.1,1.0,,
taguru-extract-12b,A0,native,short,2048,3,0.0,0.0,0.0,,,
taguru-extract-12b,A1,native,aliases,2048,3,,,,,0.33,0.0
taguru-extract-12b,A1,native,long_dense,2048,2,0.18,0.1818,0.33,1.0,,
taguru-extract-12b,A1,native,long_dense,unbounded,2,0.18,0.1818,0.33,1.0,,
taguru-extract-12b,A1,native,negation,2048,3,0.0,0.0,0.44,,,
taguru-extract-12b,A1,native,output_limit,2048,2,0.1,0.0962,0.21,1.0,,
taguru-extract-12b,A1,native,output_limit,512,2,0.04,0.0385,0.1,1.0,,
taguru-extract-12b,A1,native,output_limit,unbounded,2,0.1,0.0962,0.21,1.0,,
taguru-extract-12b,A1,native,short,2048,3,0.0,0.0,0.4,,,
taguru-extract-12b,B,native,aliases,2048,3,,,,,0.33,0.0
taguru-extract-12b,B,native,long_dense,2048,2,0.18,0.1818,0.33,1.0,,
taguru-extract-12b,B,native,long_dense,unbounded,2,0.18,0.1818,0.33,1.0,,
taguru-extract-12b,B,native,negation,2048,3,0.0,0.0,0.44,,,
taguru-extract-12b,B,native,output_limit,2048,2,0.1,0.0962,0.21,1.0,,
taguru-extract-12b,B,native,output_limit,512,2,0.04,0.0385,0.1,1.0,,
taguru-extract-12b,B,native,output_limit,unbounded,2,0.1,0.0962,0.21,1.0,,
taguru-extract-12b,B,native,short,2048,3,0.0,0.0,0.4,,,
taguru-extract-12b,C,native,aliases,2048,3,,,,,0.33,0.0
taguru-extract-12b,C,native,long_dense,2048,2,0.15,0.1515,0.3,1.0,,
taguru-extract-12b,C,native,long_dense,512,2,0.06,0.0606,0.09,1.0,,
taguru-extract-12b,C,native,long_dense,unbounded,2,0.15,0.1515,0.3,1.0,,
taguru-extract-12b,C,native,negation,2048,3,0.0,0.0,0.56,,,
taguru-extract-12b,C,native,output_limit,2048,2,0.21,0.2115,0.33,1.0,,
taguru-extract-12b,C,native,output_limit,unbounded,2,0.21,0.2115,0.33,1.0,,
taguru-extract-12b,C,native,short,2048,3,0.0,0.0,0.0,,,
